MEETING_ID,MEETING_TYPE,RECORD_TYPE,MEETING_DATE,MEETING_TIME,MEETING_LOCATION
1216,City Council,Minutes,04/30/2014 12:00:00 AM,9:30 am,Council Chamber
1217,Community Services Committee,Minutes,05/05/2014 12:00:00 AM,10:30 AM,River Valley Room
1218,Executive Committee,Minutes,05/06/2014 12:00:00 AM,9:30 AM,River Valley Room
1219,Transportation Committee,Minutes,05/07/2014 12:00:00 AM,9:30 am,River Valley Room
1220,Community Standards and Licence Appeal Committee,Minutes,05/08/2014 12:00:00 AM,9:30 AM,Churchill Building
1222,City Council Public Hearing,Minutes,05/12/2014 12:00:00 AM,1:30 pm,Council Chamber
1334,Special City Council,Minutes,05/12/2014 12:00:00 AM,9:30 AM,Council Chamber
1224,City Council,Minutes,05/14/2014 12:00:00 AM,9:30 am,Council Chamber
1225,Utility Committee,Minutes,05/15/2014 12:00:00 AM,9:30 AM,River Valley Room
1226,Executive Committee,Minutes,05/20/2014 12:00:00 AM,9:30 AM,River Valley Room
1227,Transportation Committee,Minutes,05/21/2014 12:00:00 AM,1:30 PM,River Valley Room
1089,Community Services Committee,Minutes,05/21/2014 12:00:00 AM,9:30 am,River Valley Room
1229,City Council Public Hearing,Minutes,05/26/2014 12:00:00 AM,1:30 pm,Council Chamber
1335,CM and CA Performance Review Committee,Minutes,05/27/2014 12:00:00 AM,12:00 PM,Office of the City Clerk Board Room
1230,City Council,Minutes,05/28/2014 12:00:00 AM,9:30 am,Council Chamber
1231,Executive Committee,Minutes,06/04/2014 12:00:00 AM,9:30 AM,River Valley Room
1232,Community Services Committee,Minutes,06/05/2014 12:00:00 AM,9:30 am,River Valley Room
1233,Transportation Committee,Minutes,06/05/2014 12:00:00 AM,9:30 am,River Valley Room
1236,City Council Public Hearing,Minutes,06/09/2014 12:00:00 AM,1:30 pm,Council Chamber
1235,Audit Committee,Minutes,06/09/2014 12:00:00 AM,9:30 am,River Valley Room
1337,CM and CA Performance Review Committee,Minutes,06/10/2014 12:00:00 AM,12:00 PM,Office of the City Clerk Boardroom
1237,City Council,Minutes,06/10/2014 12:00:00 AM,9:30 am,Council Chamber
1238,City Council,Minutes,06/11/2014 12:00:00 AM,9:30 am,Council Chamber
1239,Community Standards and Licence Appeal Committee,Minutes,06/12/2014 12:00:00 AM,9:30 AM,Churchill Building
1340,Annexation Negotiating Committee,Agenda,06/14/2014 12:00:00 AM,8:00 AM,Councillors Boardroom
1240,Community Services Committee,Minutes,06/16/2014 12:00:00 AM,9:30 am,River Valley Room
1241,Executive Committee,Minutes,06/17/2014 12:00:00 AM,9:30 AM,River Valley Room
1242,Transportation Committee,Minutes,06/18/2014 12:00:00 AM,9:30 am,River Valley Room
